商品编码,品名,划线价,销售价,税费,利润,高级会员,蓝钻会员,红钻
HH00000039,美国BAD AIR SPONGE空气净化剂400g 2罐装,,209.06,21.06,64.23,0.64,1.28,1.93
HH00000040,美国魅可MAC哑光口红#CHILI 3g,,186.82,18.82,41.48,0.41,0.83,1.24
HH00000041,法国纪梵希Givenchy四宫格散粉12g #1,,442.58,44.58,85.97,0.86,1.72,2.58
HH00000042,法国纪梵希Givenchy四宫格散粉12g #2,,442.58,44.58,100.86,1.01,2.02,3.03
HH00000045,意大利Armani阿玛尼小胖丁唇釉#400,,376.97,37.97,30.49,0.3,0.61,0.91
HH00000047,澳洲澳佳宝Blackmores血糖平衡片90粒,,117.87,11.87,47.01,0.47,0.94,1.41
HH00000048,韩国PapaRecipe春雨洗面奶120ml,,75.62,7.62,16.23,0.16,0.32,0.49
HH00000049,韩国PapaRecipe春雨蜂蜜爽肤水200ml,,86.74,8.74,15.8,0.16,0.32,0.47
HH00000050,韩国PapaRecipe春雨蜂蜜乳液150ml,,86.74,8.74,15.8,0.16,0.32,0.47
HH00000051,韩国伊思its skin红参BB霜50ml,,120.1,12.1,40,0.4,0.8,1.2
HH00000056,美国雅诗兰黛Estee Lauder红石榴去黄排毒3件套,,998.58,100.58,221.98,2.22,4.44,6.66
HH00000057,台湾姬芮Za新能真皙美白防晒霜 35g,,72.28,7.28,14.01,0.14,0.28,0.42
HH00000060,澳洲澳羊倍护The Goat Skincare 麦卢卡蜂蜜山羊奶皂 100g,,32.25,3.25,4.25,0.04,0.09,0.13
HH00000061,澳洲澳羊倍护The Goat Skincare 柠檬山羊奶皂 100g,,32.25,3.25,13.94,0.14,0.28,0.42
HH00000064,"澳大利亚
澳芝曼G&M绵羊油晚霜250g",,61.16,6.16,31.21,0.31,0.62,0.94
HH00000066,日清奶酪味威化饼干 330g,,38.92,3.92,11.44,0.11,0.23,0.34
HH00000067,日清巧克力味威化饼干200g,,31.14,3.14,8.79,0.09,0.18,0.26
HH00000068,歌娜Gednat盐焗腰果227G,,54.49,5.49,13.08,0.13,0.26,0.39
HH00000069,歌娜Gednat原味腰果 227G ,,54.49,5.49,13.08,0.13,0.26,0.39
HH00000070,歌娜Gednat蜂蜜腰果 227G ,,54.49,5.49,13.08,0.13,0.26,0.39
HH00000082,意大利 Armani阿玛尼 红管唇釉 #505,,331.38,33.38,56.54,0.57,1.13,1.7
HH00000083,意大利 Armani阿玛尼 红管唇釉 #507,,298.02,30.02,98.34,0.98,1.97,2.95
HH00000084,意大利 Armani阿玛尼 红管唇釉 #508,,298.02,30.02,103.44,1.03,2.07,3.1
HH00000086,意大利 Armani阿玛尼 红管唇釉 #503,,298.02,30.02,77.94,0.78,1.56,2.34
HH00000087,英国 Jo Malone祖马龙 蓝风铃香水30ml,,440.35,44.35,57.9,0.58,1.16,1.74
HH00000088,英国 Jo Malone祖马龙 英国梨香水30ml,,440.35,44.35,57.9,0.58,1.16,1.74
HH00000089,美国 MAC魅可哑光正红色Russian Red 子弹头口红3g,,186.82,18.82,32.01,0.32,0.64,0.96
HH00000090,法国 LANCOME兰蔻 天鹅颈睫毛膏 防水不晕染不晕妆 10g,,250.2,25.2,74.39,0.74,1.49,2.23
HH00000092,韩国 伊思蜗牛1号清爽乳140ml,,139,14,33.85,3.39,6.77,10.16
HH00000093,韩国 伊思蜗牛1号清爽水140ml,,139,14,21.32,2.13,4.26,6.4
HH00000094,韩国 伊思晶钻蜗牛保湿水2号 滋润型140ml,,150.12,15.12,44.64,0.45,0.89,1.34
HH00000095,韩国 伊思蜗牛2号滋润乳140ml,,150.12,15.12,44.64,0.45,0.89,1.34
HH00000096,韩国the Saem得鲜口红M03,,61.16,6.16,13.43,0.13,0.27,0.4
HH00000097,韩国 CLIO珂莱欧气垫BB 2号色,,150.12,15.12,39.54,0.4,0.79,1.19
HH00000103,意大利 Armani阿玛尼 红管唇釉 #400,,298.02,30.02,45.81,0.46,0.92,1.37
HH00000104,意大利 Armani阿玛尼 红管唇釉 #401,,298.02,30.02,47.34,0.47,0.95,1.42
HH00000105,韩国LEADERS丽得姿美蒂尤AMINO氨基酸面膜10片 新旧版随机发,,72.28,7.28,20.13,0.2,0.4,0.6
HH00000107,澳洲 Nature's Way佳思敏 维生素c+锌儿童软糖 60粒,,83.4,8.4,22.55,0.23,0.45,0.68
HH00000108,澳洲 Nature's Way佳思敏儿童钙+维生素D 60粒 ,,86.74,8.74,16.9,0.17,0.34,0.51
HH00000110,澳洲Blackmores澳佳宝圣洁莓女性荷尔蒙草本平衡片40片,,94.52,9.52,22.09,0.22,0.44,0.66
HH00000111,澳洲Swisse前列康片 50粒,,161.24,16.24,47.14,0.47,0.94,1.41
HH00000113,澳洲 Blackmores澳佳宝芹菜籽精华50粒,,95.63,9.63,21.21,0.21,0.42,0.64
HH00000114,日本 OMI近江兄弟 蓝色小熊冷感冰爽防晒霜,,38.92,3.92,11.6,0.12,0.23,0.35
HH00000115,日本 OMI近江兄弟 红色小熊超强抗紫外线防晒霜,,38.92,3.92,11.6,0.12,0.23,0.35
